id,parent,notused,detail
2,0,0,CO-ROUTINE t
5,2,0,CO-ROUTINE (subquery-3)
8,5,0,SCAN producthistory
22,5,0,USE TEMP B-TREE FOR ORDER BY
42,2,0,SCAN (subquery-3)
104,0,0,SCAN t
