id,parent,notused,detail
3,0,0,SCAN producthistory
9,0,0,CORRELATED SCALAR SUBQUERY 2
13,9,0,MATERIALIZE limited_data
17,13,0,SCAN producthistory
37,13,0,USE TEMP B-TREE FOR ORDER BY
52,9,0,BLOOM FILTER ON ph2 (productid=?)
63,9,0,SEARCH ph2 USING AUTOMATIC COVERING INDEX (productid=?)
100,0,0,CORRELATED SCALAR SUBQUERY 2
107,100,0,BLOOM FILTER ON ph2 (productid=?)
118,100,0,SEARCH ph2 USING AUTOMATIC COVERING INDEX (productid=?)
150,0,0,USE TEMP B-TREE FOR ORDER BY
