id,parent,notused,detail
2,0,0,CO-ROUTINE t
5,2,0,CO-ROUTINE (subquery-3)
8,5,0,SCAN producthistory
21,5,0,USE TEMP B-TREE FOR ORDER BY
41,2,0,SCAN (subquery-3)
94,0,0,SCAN t
108,0,0,USE TEMP B-TREE FOR ORDER BY
